ID,Title,T+/-,Date,Start Time,End Time,Primary Position,Additional Positions,Categories,Sub Category,Description,Venue Name,Published
1,Trainer Arrival and Set up,-18,,12:00:00 PM,5:30:00 AM,Set Up/Trainer Prep,,,,The OPERA Training team will arrive today and need to set up the Systems training room and Service room,N/A,Y
2,Kick Off Meeting,-17,,3:00:00 AM,5:00:00 AM,Hotel Leaders,,,,Kick off meeting with department heads:<br>Front Office<br>Housekeeping<br>Accounting<br>Group Housing,TBA,Y
3,Set-Up,-17,,8:30:00 AM,5:00:00 AM,Set Up/Trainer Prep,,,,,TBA,Y
4,Property Orientation Day,-17,,10:00:00 AM,3:00:00 AM,All Team,,,,Property lead - must be done prior to trainer arrival.<br>**Property to advise on actual date.**,TBA,Y
5,Workshop Day 1,-16,,9:00:00 AM,5:00:00 AM,All Team,,,,,TBA,Y
6,Workshop Day 2,-15,,9:00:00 AM,5:00:00 AM,All Team,,,,,TBA,Y
7,Systems Intro,-14,,8:30:00 AM,10:30:00 AM,Front Office,,,,"FSPMS Introduction - For associates that will attend other FSPMS courses or those that need just a basic understanding of FSPMS, Topics covered include basic navigation, reading the house count, room types and statuses, finding and accessing reservations, reading the reservation screen, guest messaging, and guest history. Intro to FSPMS will be a pre-requisite for all other FSPMS training.",TBA,Y
8,Operations Trainer Arrival,-14,,9:00:00 AM,6:00:00 AM,Set Up/Trainer Prep,,,,,N/A,Y
9,IT Lab,-14,,10:30:00 AM,12:30:00 PM,Front Office,,,,,TBA,Y
10,Meet & Greet & Tour,-13,,8:30:00 AM,10:00:00 AM,Housekeeping,,Housekeeping Leaders,,"Front Office Leadership to Meet with Trainer on first day to review progress, training calendar & expectations &nbsp;and tour department area. (Does not have to be exactly at time scheduled)",In Department,Y
11,Operations Training,-13,,4:30:00 AM,5:30:00 AM,Front Office,,Front Office Leadership,,,TBA,Y
